
                                                  *****************************
                                                  *  TOTAL    RUN    SUMMARY  *
                                                  *****************************

     TIME STEP              PRODUCTION                   INJECTION     PV WT AQUIFER INFLUX      CUM PRODUCTION       CUM INJECTION
    ---------- ------------------------------------- ----------------   AVG  -------------- ------------------------ ---------------
                  OIL     GAS     WATER    GOR   WATER   GAS   WATER    RES   RATE    CUM     OIL     GAS    WATER    GAS    WATER
                                         SCF/  /OIL                    PRES
     NO.  DAYS   STB/D  MSCF/D   STB/D   STB   RATIO  MSCF/D   STB/D   PSIA  MSTB/D  MMSTB    MSTB   MMSCF   MSTB    MMSCF   MSTB
    127  1121.    1167.   1270.     1.3  1088.   0.0       0.      0.  5543.    0.0      0.   3593.   3074.      2.      0.      0.
    128  1134.    1151.   1260.     1.3  1095.   0.0       0.      0.  5543.    0.0      0.   3608.   3091.      2.      0.      0.
    129  1149.    1132.   1248.     1.3  1103.   0.0       0.      0.  5542.    0.0      0.   3625.   3109.      2.      0.      0.
    130  1164.    1113.   1236.     1.3  1111.   0.0       0.      0.  5542.    0.0      0.   3641.   3128.      2.      0.      0.
    131  1179.    1097.   1227.     1.3  1119.   0.0       0.      0.  5541.    0.0      0.   3658.   3146.      2.      0.      0.
    132  1194.    1083.   1218.     1.3  1125.   0.0       0.      0.  5541.    0.0      0.   3674.   3165.      2.      0.      0.
    133  1209.    1229.   1285.     1.2  1046.   0.0       0.      0.  5541.    0.0      0.   3692.   3184.      2.      0.      0.
    134  1224.    1161.   1237.     1.2  1065.   0.0       0.      0.  5540.    0.0      0.   3710.   3202.      2.      0.      0.
    135  1239.    1127.   1216.     1.2  1080.   0.0       0.      0.  5540.    0.0      0.   3727.   3221.      2.      0.      0.
    136  1254.    1101.   1201.     1.2  1091.   0.0       0.      0.  5540.    0.0      0.   3743.   3239.      2.      0.      0.
    137  1269.    1080.   1188.     1.2  1101.   0.0       0.      0.  5539.    0.0      0.   3759.   3257.      2.      0.      0.
    138  1284.    1035.   1158.     1.2  1119.   0.0       0.      0.  5539.    0.0      0.   3775.   3274.      2.      0.      0.
    139  1299.    1004.   1139.     1.2  1135.   0.0       0.      0.  5539.    0.0      0.   3790.   3291.      2.      0.      0.
    140  1314.     980.   1126.     1.2  1149.   0.0       0.      0.  5538.    0.0      0.   3805.   3308.      2.      0.      0.
    141  1329.     962.   1116.     1.2  1161.   0.0       0.      0.  5538.    0.0      0.   3819.   3325.      2.      0.      0.
    142  1344.    1023.   1143.     1.2  1117.   0.0       0.      0.  5538.    0.0      0.   3834.   3342.      2.      0.      0.
    143  1359.     981.   1114.     1.2  1135.   0.0       0.      0.  5538.    0.0      0.   3849.   3358.      3.      0.      0.
    144  1374.     960.   1102.     1.2  1148.   0.0       0.      0.  5537.    0.0      0.   3864.   3375.      3.      0.      0.
    145  1389.     943.   1093.     1.2  1158.   0.0       0.      0.  5537.    0.0      0.   3878.   3391.      3.      0.      0.
    146  1404.     930.   1084.     1.2  1166.   0.0       0.      0.  5537.    0.0      0.   3892.   3408.      3.      0.      0.
    147  1419.     919.   1077.     1.2  1172.   0.0       0.      0.  5536.    0.0      0.   3905.   3424.      3.      0.      0.
    148  1434.     991.   1109.     1.2  1119.   0.0       0.      0.  5536.    0.0      0.   3920.   3440.      3.      0.      0.
    149  1449.     982.   1102.     1.1  1122.   0.0       0.      0.  5536.    0.0      0.   3935.   3457.      3.      0.      0.
    150  1460.     948.   1078.     1.1  1138.   0.0       0.      0.  5536.    0.0      0.   3946.   3469.      3.      0.      0.
    151  1475.    1005.   1102.     1.1  1097.   0.0       0.      0.  5535.    0.0      0.   3961.   3486.      3.      0.      0.
    152  1490.     956.   1070.     1.1  1119.   0.0       0.      0.  5535.    0.0      0.   3975.   3502.      3.      0.      0.
    153  1505.     934.   1058.     1.1  1133.   0.0       0.      0.  5535.    0.0      0.   3989.   3518.      3.      0.      0.
    154  1520.     916.   1047.     1.1  1144.   0.0       0.      0.  5535.    0.0      0.   4003.   3533.      3.      0.      0.
    155  1535.     901.   1038.     1.1  1153.   0.0       0.      0.  5534.    0.0      0.   4016.   3549.      3.      0.      0.
    156  1550.     888.   1031.     1.1  1160.   0.0       0.      0.  5534.    0.0      0.   4030.   3564.      3.      0.      0.
    157  1565.     878.   1025.     1.1  1167.   0.0       0.      0.  5534.    0.0      0.   4043.   3580.      3.      0.      0.
    158  1580.     870.   1019.     1.1  1171.   0.0       0.      0.  5533.    0.0      0.   4056.   3595.      3.      0.      0.
    159  1595.     916.   1035.     1.1  1130.   0.0       0.      0.  5533.    0.0      0.   4070.   3611.      3.      0.      0.
    160  1610.     867.   1004.     1.1  1158.   0.0       0.      0.  5533.    0.0      0.   4083.   3626.      3.      0.      0.
    161  1625.     838.    989.     1.1  1180.   0.0       0.      0.  5533.    0.0      0.   4095.   3641.      3.      0.      0.
    162  1640.     816.    978.     1.1  1197.   0.0       0.      0.  5533.    0.0      0.   4108.   3655.      3.      0.      0.
    163  1655.     799.    968.     1.1  1211.   0.0       0.      0.  5532.    0.0      0.   4120.   3670.      3.      0.      0.
    164  1670.     785.    960.     1.1  1222.   0.0       0.      0.  5532.    0.0      0.   4131.   3684.      3.      0.      0.
    165  1685.     774.    953.     1.1  1231.   0.0       0.      0.  5532.    0.0      0.   4143.   3698.      3.      0.      0.
    166  1700.     765.    949.     1.1  1239.   0.0       0.      0.  5532.    0.0      0.   4154.   3713.      3.      0.      0.
    167  1715.     759.    945.     1.1  1245.   0.0       0.      0.  5531.    0.0      0.   4166.   3727.      3.      0.      0.
    168  1730.     832.    979.     1.1  1178.   0.0       0.      0.  5531.    0.0      0.   4178.   3742.      3.      0.      0.
    169  1745.     798.    955.     1.1  1197.   0.0       0.      0.  5531.    0.0      0.   4190.   3756.      3.      0.      0.
    170  1760.     782.    946.     1.1  1209.   0.0       0.      0.  5531.    0.0      0.   4202.   3770.      3.      0.      0.
    171  1775.     770.    939.     1.1  1219.   0.0       0.      0.  5530.    0.0      0.   4214.   3784.      3.      0.      0.
    172  1790.     760.    932.     1.1  1226.   0.0       0.      0.  5530.    0.0      0.   4225.   3798.      3.      0.      0.
    173  1805.     752.    927.     1.1  1232.   0.0       0.      0.  5530.    0.0      0.   4236.   3812.      3.      0.      0.
    174  1820.     745.    921.     1.0  1236.   0.0       0.      0.  5530.    0.0      0.   4247.   3826.      3.      0.      0.
    175  1825.     741.    919.     1.0  1241.   0.0       0.      0.  5530.    0.0      0.   4251.   3830.      3.      0.      0.
    176  1833.     739.    917.     1.0  1242.   0.0       0.      0.  5530.    0.0      0.   4257.   3837.      3.      0.      0.
    177  1844.     736.    915.     1.0  1244.   0.0       0.      0.  5530.    0.0      0.   4265.   3848.      3.      0.      0.
